pathway_id,pathway_name,n_unique_linked_genes,minimum_required_genes,kept_for_modelling,exclusion_reason
ath00010,Glycolysis / Gluconeogenesis,119,5,True,
ath00020,Citrate cycle (TCA cycle),64,5,True,
ath00030,Pentose phosphate pathway,58,5,True,
ath00040,Pentose and glucuronate interconversions,108,5,True,
ath00051,Fructose and mannose metabolism,62,5,True,
ath00052,Galactose metabolism,65,5,True,
ath00053,Ascorbate and aldarate metabolism,62,5,True,
ath00061,Fatty acid biosynthesis,43,5,True,
ath00062,Fatty acid elongation,36,5,True,
ath00071,Fatty acid degradation,47,5,True,
ath00073,"Cutin, suberine and wax biosynthesis",65,5,True,
ath00100,Steroid biosynthesis,36,5,True,
ath00130,Ubiquinone and other terpenoid-quinone biosynthesis,40,5,True,
ath00190,Oxidative phosphorylation,151,5,True,
ath00195,Photosynthesis,76,5,True,
ath00196,Photosynthesis,22,5,True,
ath00220,Arginine biosynthesis,38,5,True,
ath00230,Purine metabolism,96,5,True,
ath00232,Caffeine metabolism,3,5,False,fewer_than_5_unique_linked_genes
ath00240,Pyrimidine metabolism,65,5,True,
ath00250,"Alanine, aspartate and glutamate metabolism",51,5,True,
ath00260,"Glycine, serine and threonine metabolism",70,5,True,
ath00261,Monobactam biosynthesis,14,5,True,
ath00270,Cysteine and methionine metabolism,125,5,True,
ath00280,"Valine, leucine and isoleucine degradation",52,5,True,
ath00290,"Valine, leucine and isoleucine biosynthesis",21,5,True,
ath00300,Lysine biosynthesis,15,5,True,
ath00310,Lysine degradation,32,5,True,
ath00330,Arginine and proline metabolism,54,5,True,
ath00340,Histidine metabolism,20,5,True,
ath00350,Tyrosine metabolism,41,5,True,
ath00360,Phenylalanine metabolism,33,5,True,
ath00380,Tryptophan metabolism,64,5,True,
ath00400,"Phenylalanine, tyrosine and tryptophan biosynthesis",56,5,True,
ath00410,beta-Alanine metabolism,47,5,True,
ath00430,Taurine and hypotaurine metabolism,11,5,True,
ath00440,Phosphonate and phosphinate metabolism,5,5,True,
ath00450,Selenocompound metabolism,16,5,True,
ath00460,Cyanoamino acid metabolism,71,5,True,
ath00470,D-Amino acid metabolism,6,5,True,
ath00480,Glutathione metabolism,102,5,True,
ath00500,Starch and sucrose metabolism,181,5,True,
ath00510,N-Glycan biosynthesis,52,5,True,
ath00511,Other glycan degradation,18,5,True,
ath00513,Various types of N-glycan biosynthesis,38,5,True,
ath00514,Other types of O-glycan biosynthesis,13,5,True,
ath00520,Amino sugar and nucleotide sugar metabolism,124,5,True,
ath00531,Glycosaminoglycan degradation,8,5,True,
ath00540,Lipopolysaccharide biosynthesis,10,5,True,
ath00541,Biosynthesis of various nucleotide sugars,30,5,True,
ath00543,Exopolysaccharide biosynthesis,5,5,True,
ath00561,Glycerolipid metabolism,71,5,True,
ath00562,Inositol phosphate metabolism,83,5,True,
ath00563,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,29,5,True,
ath00564,Glycerophospholipid metabolism,99,5,True,
ath00565,Ether lipid metabolism,26,5,True,
ath00566,Sulfoquinovose metabolism,11,5,True,
ath00590,Arachidonic acid metabolism,12,5,True,
ath00591,Linoleic acid metabolism,9,5,True,
ath00592,alpha-Linolenic acid metabolism,43,5,True,
ath00600,Sphingolipid metabolism,35,5,True,
ath00601,Glycosphingolipid biosynthesis,5,5,True,
